district,area,population,density
Attock,6858,1883556,275
Bahawalnagar,8878,2981919,336
Bahawalpur,24830,3668106,148
Bhakkar,8153,1650518,202
Chakwal,6524,1495982,229
Chiniot,2643,1369740,518
Dera Ghazi Khan,11922,2872201,241
Faisalabad,5856,7873910,1345
Gujranwala,3622,5014196,1384
Gujrat,3192,2756110,863
Hafizabad,2367,1156957,489
Jhang,8809,2743416,311
Jhelum,3587,1222650,341
Kasur,4796,3454996,720
Khanewal,4349,2921986,672
Khushab,6511,1281299,197
Lahore,1772,11126285,6279
Layyah,6291,1824230,290
Lodhran,2778,1700620,612
Mandi Bahauddin,2673,1593292,596
Mianwali,5840,1546094,265
Multan,3720,4745109,1275
Muzaffargarh,8249,4322009,524
Narowal,2337,1709757,732
Nankana Sahib,2960,1356374,458
Okara,4377,3039139,694
Pakpattan,2724,1823687,669
Rahim Yar Khan,11880,4814006,405
Rajanpur,12319,1995958,162
Rawalpindi,5286,5405633,1322
Sahiwal,3201,2517560,786
Sargodha,5854,3703588,633
Sheikhupura,5960,3460426,580
Sialkot,3016,3893672,1291
Toba Tek Singh,3252,2190015,673
Vehari,4364,2897446,664
